bonica.rid,X,cycle,election,Cand.ID,Name,Party,State,seat,District,cfscore,male.winner,running.variable,female.margin,female.pctile,prev.elect,democrat,total.votes,professional,pct.female.chamber,gop.gov,house,state.pres.dem,num.cands,won.again,pct.dem.last,female.cand.last,total.dist.last,female.inc,total.raised.candidate,log.total.raised.candidate,individual.money,log.individual.money,pac.money,log.pac.money,party.money,log.party.money,male.money,log.male.money,female.money,log.female.money,share.district.total,district.total,log.district.total,cand.gender
cand102071,86570,2002,PA2002,PA2343,"CLYMER, PAUL I",200,PA,state:lower,PA-145,0.709498515,1,20.32980086,29.67019914,29.7,NA,1,17.286,0.283,0.173529412,1,1,0.506,2,1,0,0,25347,0,33542,10.42055366,10813,9.28859687,9279,9.135616826,1079,6.98471632,9224,9.129672469,1214,7.102499356,0.756950713,44312,10.6990108,M
cand102072,63375,1998,PA1998,PA2345,"CONTI, JOE",200,PA,state:upper,PA-10,0.385144914,1,16.485364,33.514636,33.5,NA,1,71.877,0.283,0.230769231,1,0,0.4917,2,1,NA,NA,NA,0,307872,12.63743939,139340,11.84467945,131147,11.78408174,33940,10.432379,124815,11.73459593,8400,9.036106025,0.984160574,312827,12.6534056,M
cand102074,63381,1998,PA1998,PA2347,"CURRY, LAWRENCE H",100,PA,state:lower,PA-154,-0.715439881,1,19.43881093,30.56118907,30.6,NA,0,22.185,0.283,0.159468439,1,1,0.4917,2,1,NA,NA,NA,0,41498,10.63340051,13325,9.497472293,16550,9.714201802,1800,7.496097345,9075,9.113388846,3650,8.202756382,0.916111087,45298,10.72101816,M
cand102078,112480,2006,PA2006,PA2351,"DERMODY, FRANK",100,PA,state:lower,PA-33,-0.205062436,1,0.954524994,49.04547501,49,0,0,22.21,0.283,0.144278607,0,1,0.5092,2,1,100,0,26200,0,424307,12.95821253,82115,11.31588816,185918,12.13306637,135327,11.81545674,76574.94,11.24603821,5950,8.691314552,0.776983858,546095,13.21054823,M
cand102084,63404,1998,PA1998,PA2357,"FICHTER, JOHN W",200,PA,state:lower,PA-70,0.492880153,1,9.679721832,40.32027817,40.3,NA,1,13.301,0.283,0.159468439,1,1,0.4917,2,1,NA,NA,NA,0,89609,11.40321104,36670,10.50974153,37385,10.52905158,9900,9.200391041,32757,10.39690249,4038,8.303752416,0.623874736,143633,11.87501671,M
cand102084,86485,2002,PA2002,PA2357,"FICHTER, JOHN W",200,PA,state:lower,PA-70,0.492880153,1,11.51028791,38.48971209,38.5,NA,1,18.749,0.283,0.173529412,1,1,0.506,2,1,48.53013611,1,143633,0,107071,11.58124744,44472,10.70263754,33908,10.43143574,25673,10.15323409,41721.85,10.63880422,2750,7.919719761,0.856095435,125069,11.73662086,M
cand102087,86618,2002,PA2002,PA2360,"GANNON, TOM",200,PA,state:lower,PA-161,0.07801645,1,2.417663574,47.58233643,47.6,0,1,25.293,0.283,0.173529412,1,1,0.506,2,1,0,0,54900,0,115785,11.6594903,15902,9.67426305,96950,11.48196098,0,0,12652,9.44564962,3000,8.006700845,1,115785,11.6594903,M
cand102089,112546,2006,PA2006,PA2362,"GEORGE, CAMILLE",100,PA,state:lower,PA-74,0.149475578,0,-13.25907135,63.25907135,63.3,NA,0,17.999,0.283,0.144278607,0,1,0.5092,2,1,73.00424957,1,70043,1,85002,11.35043006,33392,10.41610158,49336,10.80642959,0,0,32131.68,10.37762886,1260,7.139660336,0.737160697,115310,11.65537943,F
cand102089,117774,2008,PA2008,PA2362,"GEORGE, CAMILLE",100,PA,state:lower,PA-74,0.149475578,0,-13.38233948,63.38233948,63.4,NA,0,23.262,0.283,0.157575758,0,1,0.5447,2,1,63.25907135,1,117864,1,55557,10.9251648,18756,9.839322295,36476,10.5044372,0,0,17405.82,9.764617362,500,6.216606101,0.404165545,137461,11.83109552,F
cand102095,63448,1998,PA1998,PA2368,"HARHART, JULIE",200,PA,state:lower,PA-183,0.658870229,0,-2.842384338,52.84238434,52.8,NA,1,15.779,0.283,0.159468439,1,1,0.4917,2,1,NA,NA,NA,1,264474,12.48549823,10625,9.271059107,60929,11.01748094,174624,12.0703961,9090,9.115040192,1120,7.021976423,0.864011761,306100,12.63166712,F
cand102095,86494,2002,PA2002,PA2368,"HARHART, JULIE",200,PA,state:lower,PA-183,0.658870229,0,-18.46299111,68.46299111,68.5,NA,1,16.942,0.283,0.173529412,1,1,0.506,2,1,32.35202789,1,306100,1,45318,10.72145958,33546,10.42070272,9597,9.169310022,0,0,29471,10.29119594,4000,8.294299609,1,45318,10.72145958,F
cand102095,112780,2006,PA2006,PA2368,"HARHART, JULIE",200,PA,state:lower,PA-183,0.658870229,0,-12.96931064,62.96931064,63,NA,1,19.753,0.283,0.144278607,0,1,0.5092,3,1,0,1,45318,1,45523,10.72597297,23350,10.05839509,19963,9.901685931,0,0,20130,9.910016194,3140,8.0522965,1,45523,10.72597297,F
cand102097,117795,2008,PA2008,PA2370,"HENNESSEY, TIM",200,PA,state:lower,PA-26,0.481606022,1,2.050071716,47.94992828,47.9,0,1,32.194,0.283,0.157575758,0,1,0.5447,2,1,0,0,43082,0,120319,11.69790183,19130,9.859065335,32900,10.40125833,65564,11.0907973,16695,9.722924449,-365,0,0.567582612,211985,12.2642708,M
cand102099,86497,2002,PA2002,PA2372,"HERSHEY, ARTHUR D",200,PA,state:lower,PA-13,0.722238199,1,9.970718384,40.02928162,40,NA,1,17.075,0.283,0.173529412,1,1,0.506,2,1,0,0,46700,0,122139,11.71291502,34939,10.46138758,34184,10.43954223,44071,10.69357994,30089,10.31194817,3050,8.023224685,0.775111692,157576,11.96766316,M
cand102099,99376,2004,PA2004,PA2372,"HERSHEY, ARTHUR D",200,PA,state:lower,PA-13,0.722238199,1,8.661960602,41.3380394,41.3,NA,1,28.908,0.283,0.150641026,0,1,0.5092,2,1,40.02928162,1,164683,0,245905,12.41270056,84529,11.34486178,53846,10.89390197,93839,11.44934648,73403.32,11.20373807,10701,9.278185919,0.605753432,405949,12.91398281,M
cand102100,86644,2002,PA2002,PA2373,"HESS, DICK L",200,PA,state:lower,PA-78,0.524759498,1,27.50508881,22.49491119,22.5,NA,1,17.684,0.283,0.173529412,1,1,0.506,2,1,0,0,40670,0,58396,10.97500267,19264,9.866045257,28526,10.25860629,0,0,17364.46,9.762238455,1650,7.409136444,1,58396,10.97500267,M
cand102103,86660,2002,PA2002,PA2376,"JOSEPHS, BABETTE",100,PA,state:lower,PA-182,-0.845886098,0,-28.9312195,78.9312195,78.9,NA,0,17.272,0.283,0.173529412,1,1,0.506,2,1,95.19810486,1,19850,1,75242,11.22846486,33199,10.41030515,28017,10.24060244,3500,8.160803921,19398,9.872976797,13151,9.484329117,0.907437558,82917,11.32559539,F
cand102103,99464,2004,PA2004,PA2376,"JOSEPHS, BABETTE",100,PA,state:lower,PA-182,-0.845886098,0,-30.03005066,80.03005066,80,NA,0,29.95,0.283,0.150641026,0,1,0.5092,2,1,78.93122101,1,26361,1,66941,11.11156691,37094,10.52123747,24591,10.11017647,500,6.216606101,26559,10.1871616,10960,9.302098797,0.865250885,77366,11.25630269,F
cand102103,117804,2008,PA2008,PA2376,"JOSEPHS, BABETTE (COMMITTEE 1)",100,PA,state:lower,PA-182,-0.845886098,0,-31.48387754,81.48387754,81.5,NA,0,32.469,0.283,0.157575758,0,1,0.5447,2,1,82.06703186,1,77366,1,73889,11.21031925,26915,10.20047618,37500,10.53212288,0,0,21475,9.974691312,5115,8.540128163,1,73889,11.21031925,F
cand102107,63503,1998,PA1998,PA2381,"LEDERER, MARIE",100,PA,state:lower,PA-175,-0.260267296,0,-22.42936707,72.42936707,72.4,NA,0,9.521,0.283,0.159468439,1,1,0.4917,2,1,NA,NA,NA,1,41800,10.64065162,23350,10.05839509,17100,9.74689222,0,0,19500,9.878221025,4200,8.343077871,0.76073307,54947,10.91412436,F
cand102112,112732,2006,PA2006,PA2387,"MANDERINO, KATHY",100,PA,state:lower,PA-194,-0.235412392,0,-30.80080568,80.80080568,80.8,NA,0,19.855,0.283,0.144278607,0,1,0.5092,2,1,100,1,36665,1,48025,10.77947699,7375,8.905986765,38750,10.56491184,400,5.993961427,5700,8.648396877,1475,7.297091005,1,48025,10.77947699,F
cand102114,112361,2006,PA2006,PA2389,"MARSICO, RON",200,PA,state:lower,PA-105,0.474451672,1,17.68583679,32.31416321,32.3,NA,1,26.394,0.283,0.144278607,0,1,0.5092,2,1,0,0,112593,0,79032,11.27760811,17677,9.780076208,54019,10.89710963,1000,6.908754779,16451,9.708202329,1140,7.03966035,1,79032,11.27760811,M
cand102117,99133,2004,PA2004,PA2392,"MCGILL, EUGENE F",200,PA,state:lower,PA-151,0.447500726,1,8.000331879,41.99966812,42,NA,1,30.255,0.283,0.150641026,0,1,0.5092,2,0,37.74211121,0,171915,0,219006,12.29685441,45075,10.71610523,42759,10.66335837,131547,11.78712708,38335,10.55414468,4500,8.412054873,0.350774967,624349,13.34446479,M
cand102119,63546,1998,PA1998,PA2394,"MICOZZIE, NICHOLAS A",200,PA,state:lower,PA-163,0.266080371,1,18.13789108,31.86210892,31.9,NA,1,16.97,0.283,0.159468439,1,1,0.4917,2,1,NA,NA,NA,0,100593,11.51883795,21150,9.959442465,74485,11.21836647,1500,7.313886832,15335,9.637958285,2260,7.723562472,1,100593,11.51883795,M
cand102119,86506,2002,PA2002,PA2394,"MICOZZIE, NICHOLAS A",200,PA,state:lower,PA-163,0.266080371,1,17.96637985,32.03362015,32,NA,1,20.107,0.283,0.173529412,1,1,0.506,2,1,0,0,100593,0,153249,11.93981933,28585,10.26067237,77462,11.25755568,750,6.621405652,23160,10.05022511,2225,7.707961532,0.97689851,156873,11.96319184,M
cand102119,99233,2004,PA2004,PA2394,"MICOZZIE, NICHOLAS A",200,PA,state:lower,PA-163,0.266080371,1,11.00317383,38.99682617,39,NA,1,29.287,0.283,0.150641026,0,1,0.5092,2,1,32.03361893,1,130988,0,181141,12.10703101,35760,10.48461319,131092,11.78366227,2025,7.613818685,26435,10.182482,2600,7.863651265,0.60829866,297783,12.60412031,M
cand102119,112695,2006,PA2006,PA2394,"MICOZZIE, NICHOLAS A",200,PA,state:lower,PA-163,0.266080371,1,7.2004776,42.7995224,42.8,NA,1,22.561,0.283,0.144278607,0,1,0.5092,2,1,38.99682617,1,156873,0,219153,12.2975254,56235,10.9373124,142357,11.86610029,3800,8.243019469,42745,10.6630309,5800,8.665785595,0.723174599,303043,12.62162999,M
cand102121,63548,1998,PA1998,PA2396,"MUNDY, PHYLLIS",100,PA,state:lower,PA-120,-0.274557686,0,-11.30114365,61.30114365,61.3,NA,0,15.202,0.283,0.159468439,1,1,0.4917,2,1,NA,NA,NA,1,99332,11.50622305,44405,10.70112987,34145,10.43840073,2700,7.901377354,30084,10.31178199,12821,9.458917725,0.751473336,132183,11.79194261,F
cand102121,86708,2002,PA2002,PA2396,"MUNDY, PHYLLIS",100,PA,state:lower,PA-120,-0.274557686,0,-15.17625427,65.17625427,65.2,NA,0,17.333,0.283,0.173529412,1,1,0.506,2,1,64.12401581,1,132183,1,35467,10.47635797,13975,9.545096852,14275,9.566335085,0,0,10700,9.278092474,2810,7.941295571,1,35467,10.47635797,F
cand102121,112344,2006,PA2006,PA2396,"MUNDY, PHYLLIS",100,PA,state:lower,PA-120,-0.274557686,0,-24.43772888,74.43772888,74.4,NA,0,20.186,0.283,0.144278607,0,1,0.5092,2,1,100,1,35467,1,54077,10.89816424,20050,9.906034307,28500,10.25769445,0,0,16075,9.685082756,4275,8.360773272,1,54077,10.89816424,F
cand102122,99135,2004,PA2004,PA2397,"NAILOR, JERRY L",200,PA,state:lower,PA-88,0.647243729,1,22.52590179,27.47409821,27.5,NA,1,30.789,0.283,0.150641026,0,1,0.5092,2,1,22.51415253,0,59289,0,75326,11.22958064,32890,10.40095434,27137,10.20869024,1000,6.908754779,22787,10.03398936,3405,8.133293861,1,75326,11.22958064,M
cand102127,63568,1998,PA1998,PA2403,"PETRONE, THOMAS C",100,PA,state:lower,PA-27,-0.175116284,1,16.34622388,33.65377612,33.7,NA,0,14.218,0.283,0.159468439,1,1,0.4917,2,1,NA,NA,NA,0,25544,10.14815773,4275,8.360773272,14209,9.561701221,100,4.615120517,3675,8.209580483,600,6.398594935,0.860820921,29674,10.29802652,M
cand102131,63574,1998,PA1998,PA2407,"PRESTON, JR, JOSEPH",100,PA,state:lower,PA-24,-0.223358202,1,23.00794961,26.99205039,27,NA,0,10.991,0.283,0.159468439,1,1,0.4917,2,1,NA,NA,NA,0,30739,10.33328749,9020,9.107310472,21150,9.959442465,0,0,7320,8.89850221,1100,7.003974137,1,30739,10.33328749,M
cand102139,86516,2002,PA2002,PA2416,"RUBLEY, CAROLE A",200,PA,state:lower,PA-157,0.556414194,0,-15.87474823,65.87474823,65.9,NA,1,21.972,0.283,0.173529412,1,1,0.506,2,1,0,1,33051,1,21099,9.956980925,3780,8.237743804,12125,9.403107187,700,6.552507887,3075,8.031385331,705,6.559615237,1,21099,9.956980925,F
cand102143,112586,2006,PA2006,PA2420,"SAYLOR, STANLEY E",200,PA,state:lower,PA-94,0.560277193,1,23.48366547,26.51633453,26.5,NA,1,19.867,0.283,0.144278607,0,1,0.5092,2,1,0,0,56443,0,58376,10.97466013,11318,9.334238009,34340,10.44409525,500,6.216606101,9837.5,9.194058539,1192,7.084226422,0.977560453,59716,10.99735527,M
cand102143,117898,2008,PA2008,PA2420,"SAYLOR, STANLEY E",200,PA,state:lower,PA-94,0.560277193,1,23.19854876,26.80145124,26.8,NA,1,30.073,0.283,0.157575758,0,1,0.5447,2,1,26.51633453,1,80328,0,92542,11.43541787,14740,9.598388006,65366,11.08777282,0,0,13350,9.499346567,545,6.302618976,0.621037232,149012,11.91178212,M
cand102144,63617,1998,PA1998,PA2422,"SEMMEL, PAUL W",200,PA,state:lower,PA-187,0.579744547,1,23.19368744,26.80631256,26.8,NA,1,17.425,0.283,0.159468439,1,1,0.4917,2,1,NA,NA,NA,0,41181,10.62573226,11744,9.371182897,24616,10.11119254,0,0,9325,9.140561477,2315,7.747596839,1,41181,10.62573226,M
cand102150,86788,2002,PA2002,PA2428,"STEIL, DAVID J",200,PA,state:lower,PA-31,0.680149581,1,9.128860474,40.87113953,40.9,NA,1,21.558,0.283,0.173529412,1,1,0.506,2,1,0,0,12050,0,25610,10.15073818,18041,9.800457652,301,5.710427017,619,6.429719478,12782.5,9.455910556,4145.39,8.329993355,0.704674903,36343,10.50075689,M
cand102150,99396,2004,PA2004,PA2428,"STEIL, DAVID J",200,PA,state:lower,PA-31,0.680149581,1,6.99394989,43.00605011,43,NA,1,34.537,0.283,0.150641026,0,1,0.5092,2,1,40.87113953,1,48497,0,31387,10.35414907,18000,9.798182591,100,4.615120517,8400,9.036106025,14450,9.578518895,2300,7.74109909,0.728507102,43084,10.67090698,M
cand102156,86800,2002,PA2002,PA2434,"TAYLOR, ELINOR Z",200,PA,state:lower,PA-156,0.596200126,0,-13.86710739,63.86710739,63.9,NA,1,19.896,0.283,0.173529412,1,1,0.506,2,1,39.64468384,1,129730,1,131807,11.78909401,21914,9.994926613,60618,11.01236365,42705,10.6620947,19240,9.864798698,2300,7.74109909,0.478518631,275448,12.52615414,F
cand102161,99324,2004,PA2004,PA2439,"VANCE, PATRICIA H",200,PA,state:upper,PA-31,0.535328307,0,-24.84834637,74.84834637,74.8,NA,1,118.916,0.283,0.15942029,0,0,0.5092,2,1,34.11136246,0,180224,0,206144,12.23633023,82937,11.32584862,90454,11.41260777,1500,7.313886832,62566.48,11.04400093,17785.9,9.78621751,0.978929723,210581,12.25762566,F
cand102165,112378,2006,PA2006,PA2443,"WASHINGTON, LEANNA M",100,PA,state:upper,PA-4,-0.561109775,0,-34.20021981,84.20021981,84.2,NA,0,91.919,0.283,0.194444444,0,0,0.5092,2,1,82.27098083,1,250214,1,159413,11.9792536,60039,11.00276629,73863,11.20998084,1575,7.36264527,42229.06,10.65088757,13810,9.533220655,1,159413,11.9792536,F
cand102174,99146,2004,PA2004,PA2505,"WHITE, MARY JO",200,PA,state:upper,PA-21,0.440412592,0,-19.3140946,69.3140946,69.3,NA,1,97.93,0.283,0.15942029,0,0,0.5092,3,1,0,1,66254,1,66351,11.10271411,19850,9.896009663,46400,10.74507629,0,0,19850,9.896009663,0,0,1,66351,11.10271411,F
cand102176,99472,2004,PA2004,PA2507,"EARLL, JANE M",200,PA,state:upper,PA-49,0.455633298,0,-15.7818985,65.7818985,65.8,NA,1,102.852,0.283,0.15942029,0,0,0.5092,2,1,42.26723099,1,322068,1,186748,12.13751539,91439,11.4234383,89975,11.40729825,0,0,78864.27,11.27549623,12575,9.439545515,0.752506367,248168,12.42186122,F
cand102179,63637,1998,PA1998,PA2510,"STEVENSON, TOM",200,PA,state:lower,PA-42,0.515551049,1,10.86733486,39.13266514,39.1,NA,1,19.885,0.283,0.159468439,1,1,0.4917,2,1,NA,NA,NA,0,121938,11.711268,51767,10.85452748,38774,10.56553099,17391,9.763765609,41635,10.63672046,6332,8.753529337,0.714265631,170718,12.04776835,M
cand102181,86568,2002,PA2002,PA2512,"CASORIO JR, JAMES E",100,PA,state:lower,PA-56,-0.349408152,1,11.70991898,38.29008102,38.3,NA,0,19.112,0.283,0.173529412,1,1,0.506,2,1,66.34042358,0,63840,0,100767,11.5205662,12360,9.422301634,23940,10.08334775,17405,9.764570253,10560,9.26492325,950,6.857514063,0.917097455,109876,11.60710774,M
cand102181,117723,2008,PA2008,PA2512,"CASORIO JR, JAMES E",100,PA,state:lower,PA-56,-0.349408152,1,9.689624786,40.31037521,40.3,NA,0,31.317,0.283,0.157575758,0,1,0.5447,2,0,62.55016327,0,90609,0,217597,12.29040001,14835,9.604811939,109163,11.60060662,29000,10.27508559,11810,9.37678658,2175,7.685243608,0.555755056,391534,12.87782764,M
cand102183,63315,1998,PA1998,PA2514,"BASTIAN, BOB",200,PA,state:lower,PA-69,0.718399301,1,12.28524399,37.71475601,37.7,NA,1,18.16,0.283,0.159468439,1,1,0.4917,2,1,NA,NA,NA,0,14759,9.599608345,7734,8.953510763,6200,8.732465848,0,0,5919,8.686091728,990,6.898714534,1,14759,9.599608345,M
cand102191,86455,2002,PA2002,PA3089,"ORIE, JANE CLARE",200,PA,state:upper,PA-40,0.331480084,0,-20.79503767,70.79503767,70.8,NA,1,80.952,0.283,0.164383562,1,0,0.506,2,1,0,1,60852,1,424162,12.95787074,238881,12.38372499,175080,12.073004,0,0,174981.02,12.0724385,63500,11.05881093,1,424162,12.95787074,F
cand102192,117814,2008,PA2008,PA3101,"KITCHEN, SHIRLEY M",100,PA,state:upper,PA-3,-0.406867129,0,-38.3945855,88.3945855,88.4,NA,0,108.975,0.283,0.1875,0,0,0.5447,2,1,86.8286972,1,108032,1,111636,11.62299886,18035,9.80012504,69159,11.14417794,100,4.615120517,12210,9.410092464,13625,9.519735011,1,111636,11.62299886,F
cand102202,63598,1998,PA1998,PA3832,"RUFFING, KENNETH W",100,PA,state:lower,PA-38,-0.28842095,1,14.3034668,35.6965332,35.7,NA,0,15.29,0.283,0.159468439,1,1,0.4917,2,1,NA,NA,NA,0,27950,10.23817248,8850,9.088285726,13075,9.478533768,0,0,10725,9.28042598,125,4.836281907,1,27950,10.23817248,M
cand102204,86504,2002,PA2002,PA3834,"MCILHINNEY, CHUCK",200,PA,state:lower,PA-143,0.485362144,1,8.221687317,41.77831268,41.8,NA,1,21.571,0.283,0.173529412,1,1,0.506,2,1,45.00429153,0,327303,0,104826,11.56005711,73101,11.19961101,18874,9.845593574,4016,8.298290634,67956,11.12663043,5145,8.545974993,0.797829346,131389,11.78591767,M
cand102211,86701,2002,PA2002,PA3842,"METCALFE, DARYL",200,PA,state:lower,PA-12,0.932381692,1,16.9462204,33.0537796,33.1,NA,1,19.078,0.283,0.173529412,1,1,0.506,2,1,0,0,44313,0,64602,11.07600065,31991,10.37324115,23924,10.08267922,0,0,24951.41,10.12472569,5195,8.555644378,1,64602,11.07600065,M
cand102216,63525,1998,PA1998,PA3847,"MANN, JENNIFER",100,PA,state:lower,PA-132,-0.066782005,0,-2.718858513,52.71885851,52.7,NA,0,13.108,0.283,0.159468439,1,1,0.4917,2,1,NA,NA,NA,0,94089,11.45199642,30699,10.33201793,50524,10.83022354,500,6.216606101,21729,9.986449073,9779,9.188094763,0.819433558,114822,11.65113838,F
cand102216,99155,2004,PA2004,PA3847,"MANN, JENNIFER",100,PA,state:lower,PA-132,-0.066782005,0,-21.29431915,71.29431915,71.3,NA,0,21.069,0.283,0.150641026,0,1,0.5092,2,1,100,1,82227,1,205158,12.23153569,63725,11.06234792,120310,11.69783534,6818,8.827468113,55245,10.91955122,13430,9.505320747,1,205158,12.23153569,F
cand102216,117830,2008,PA2008,PA3847,"MANN, JENNIFER L",100,PA,state:lower,PA-132,-0.066782005,0,-28.84004211,78.84004211,78.8,NA,0,22.656,0.283,0.157575758,0,1,0.5447,2,1,79.16562653,1,205158,1,242867,12.40026925,40250,10.60289013,198450,12.1982975,0,0,36500,10.50509494,3025,8.014996894,1,242867,12.40026925,F
cand102224,117862,2008,PA2008,PA6746,"PAYNE, JOHN D",200,PA,state:lower,PA-106,0.487319946,1,13.12247467,36.87752533,36.9,NA,1,29.72,0.283,0.157575758,0,1,0.5447,2,1,0,0,59711,0,49037,10.80033039,16426,9.706681602,27865,10.23516259,1070,6.97634807,15045,9.618867454,1581,7.366445148,0.672818078,72883,11.19661069,M
cand102231,112782,2006,PA2006,PA6753,"SHAPIRO, JOSH",100,PA,state:lower,PA-153,-0.497436632,1,25.99660637,24.00339363,24,NA,0,25.938,0.283,0.144278607,0,1,0.5092,2,1,54.31719971,0,1499649,0,738894,13.51290975,437244,12.98824896,267619,12.49732334,500,6.216606101,377580.95,12.84154291,57999.78,10.96821174,1,738894,13.51290975,M
cand102233,86687,2002,PA2002,PA6755,"MACKERETH, BEVERLY",200,PA,state:lower,PA-196,0.76835326,0,-31.34967041,81.34967041,81.3,NA,1,16.241,0.283,0.173529412,1,1,0.506,2,1,31.39427185,1,164513,1,32895,10.40107595,18870,9.845381631,9487,9.157783121,0,0,16450,9.708141545,2355,7.764720545,1,32895,10.40107595,F
cand102248,112605,2006,PA2006,PA6771,"HELM, SUSAN C (SUE)",200,PA,state:lower,PA-104,0.677602657,0,-6.621879578,56.62187958,56.6,NA,1,22.403,0.283,0.144278607,0,1,0.5092,2,1,0,0,130569,0,103168,11.54411401,31850,10.36882406,64207,11.06988309,1500,7.313886832,26160,10.17202503,4800,8.476579509,0.96073903,107384,11.58416647,F
cand102250,99312,2004,PA2004,PA6773,"GERBER, MIKE",100,PA,state:lower,PA-148,-0.518641696,1,0.655766615,49.34423339,49.3,0,0,35.564,0.283,0.150641026,0,1,0.5092,2,1,48.75718689,1,1068802,1,493776,13.10983725,262761,12.47900396,206832,12.23966698,8470,9.044403844,224640,12.32225885,36621,10.50840443,0.865965279,570203,13.25374772,M
cand102255,112595,2006,PA2006,PA6778,"DENLINGER, GORDON",200,PA,state:lower,PA-99,0.845935141,1,24.40117787,25.59882213,25.6,NA,1,16.282,0.283,0.144278607,0,1,0.5092,2,1,0,0,16695,0,11127,9.317129866,1680,7.427144133,7975,8.984192312,0,0,1525,7.330405212,155,5.049856007,1,11127,9.317129866,M
cand102256,99408,2004,PA2004,PA6779,"GRELL, GLEN R",200,PA,state:lower,PA-87,0.565268129,1,10.57962418,39.42037582,39.4,NA,1,33.47,0.283,0.150641026,0,1,0.5092,2,1,22.14662361,1,208359,0,64382,11.07258937,20269,9.916897239,23100,10.04763119,13502,9.510667162,20344,9.92059046,2819,7.944492164,0.942883923,68282,11.13140147,M
