"","PUBID","year","weight","selfemp","wage","age","numChildren","educ","school","experience","tenure","tenure2","fullTime","multipleLocations","unionized","firmSize","marstat","region","urban","industry","occupation","autonomy","competitiveness","hazardous","regularity","teamwork"
"113",32,2010,253941,0,4750,29,1,"4.College",FALSE,609,0.326923077,0.106878698,TRUE,NA,NA,NA,"Cohabiting",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",110,4.392804547,3.3459,1.153184682,1.2656,4.1669
"114",32,2011,253941,0,6000,30,1,"4.College",FALSE,656,0.307692308,0.094674556,TRUE,NA,0,NA,"Cohabiting",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",110,4.392804547,3.3459,1.153184682,1.2656,4.1669
"115",32,2013,253941,0,6700,32,1,"4.College",FALSE,778,0.480769231,0.231139053,TRUE,NA,NA,NA,"Cohabiting",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",110,4.392804547,3.3459,1.153184682,1.2656,4.1669
"140",36,1997,348666,NA,475,16,0,NA,TRUE,50,0.461538462,0.213017751,FALSE,0,0,"2. 30-299","No romantic union",1,1,"Information and Communications",2440,3.567022096,1.498749875,1.0011,1.052994701,4.1067
"141",36,1998,348666,NA,500,18,1,"2.High school",FALSE,86,0.307692308,0.094674556,FALSE,0,0,"2. 30-299","Cohabiting",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4110,3.61957127,2.606160616,1.2344,1.3274,4.477847785
"142",36,1999,348666,NA,825,19,1,"2.High school",FALSE,106,0.384615385,0.147928994,TRUE,1,0,NA,"No romantic union",1,1,"Finance, Insurance, Real Estate, and Rental and Leasing",5400,4.013030244,3.231223122,1.0179982,1.1739,4.4473
"143",36,2001,348666,0,800,21,1,"2.High school",FALSE,112,0.057692308,0.003328402,TRUE,NA,NA,NA,"No romantic union",1,1,"Transportation and Warehousing",5400,4.013030244,3.231223122,1.0179982,1.1739,4.4473
"144",36,2002,348666,0,800,22,1,"2.High school",FALSE,127,0.346153846,0.119822485,TRUE,0,0,"2. 30-299","No romantic union",1,NA,"Transportation and Warehousing",5400,4.013030244,3.231223122,1.0179982,1.1739,4.4473
"145",36,2003,348666,0,1000,23,1,"2.High school",FALSE,156,0.557692308,0.31102071,FALSE,0,0,"1. Less than 30","Married",1,1,"Health Care",3640,3.759669608,2.406206598,2.218414942,1.072355556,4.494050066
"146",36,2004,348666,0,1000,24,1,"2.High school",FALSE,158,0.596153846,0.355399408,TRUE,NA,NA,NA,"Married",4,1,"Health Care",3640,3.759669608,2.406206598,2.218414942,1.072355556,4.494050066
"147",36,2011,348666,0,800,31,2,"2.High school",TRUE,180,0.346153846,0.119822485,FALSE,1,0,"1. Less than 30","No romantic union",4,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4050,3.225815026,3.310931093,1.6601,1.443455654,4.01639836
"148",36,2013,348666,0,1300,33,2,"2.High school",TRUE,236,1,1,FALSE,1,0,"1. Less than 30","No romantic union",4,1,"Health Care",2010,4.263977941,2.723933333,1.119433333,1.053766667,4.583686123
"160",38,2002,258920,0,700,21,0,"2.High school",TRUE,54,1.038461538,1.078402367,FALSE,0,0,NA,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4430,3.352826396,2.093172878,1.227451503,1.465533333,4.246133333
"161",38,2003,258920,0,800,22,0,"2.High school",FALSE,110,2.115384615,4.474852071,FALSE,1,0,"1. Less than 30","No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",430,4.217974043,3.503542958,1.5584,1.234,4.429340838
"162",38,2004,258920,NA,2000,23,0,"4.College",FALSE,153,0.019230769,0.000369822,FALSE,NA,NA,NA,"No romantic union",1,1,"Educational and Social Services",2300,4.201316667,1.86895,1,1.0315,4.593220339
"163",38,2005,258920,0,2000,24,0,"4.College",FALSE,204,1,1,FALSE,0,0,"1. Less than 30","No romantic union",1,1,"Educational and Social Services",2300,4.201316667,1.86895,1,1.0315,4.593220339
"164",38,2006,258920,0,2000,25,0,"4.College",FALSE,259,2.057692308,4.234097633,FALSE,0,0,"1. Less than 30","No romantic union",1,1,"Educational and Social Services",2300,4.201316667,1.86895,1,1.0315,4.593220339
"165",38,2007,258920,0,2500,26,0,"4.College",FALSE,323,3.288461538,10.81397929,TRUE,0,0,"1. Less than 30","Cohabiting",1,1,"Educational and Social Services",2300,4.201316667,1.86895,1,1.0315,4.593220339
"166",38,2009,258920,0,1800,28,0,"4.College",FALSE,404,0.192307692,0.036982249,TRUE,NA,NA,NA,"Cohabiting",1,1,"Transportation and Warehousing",4550,3.685028182,2.206169075,1.952752362,1.595,4.1413
"167",38,2010,258920,0,2100,29,0,"4.College",FALSE,465,1.365384615,1.864275148,TRUE,1,1,NA,"Cohabiting",1,1,"Transportation and Warehousing",4550,3.685028182,2.206169075,1.952752362,1.595,4.1413
"168",38,2011,258920,0,2500,30,0,"4.College",FALSE,516,2.346153846,5.50443787,TRUE,0,1,NA,"No romantic union",1,1,"Transportation and Warehousing",4550,3.685028182,2.206169075,1.952752362,1.595,4.1413
"169",38,2013,258920,0,2900,32,0,"4.College",FALSE,620,4.346153846,18.88905325,TRUE,0,1,"3. 300+","No romantic union",1,1,"Transportation and Warehousing",4550,3.685028182,2.206169075,1.952752362,1.595,4.1413
"173",41,1998,275578,NA,500,16,0,"1.Less than HS",TRUE,18,0.173076923,0.029955621,FALSE,NA,NA,NA,NA,1,1,"Finance, Insurance, Real Estate, and Rental and Leasing",5860,3.9769,2.2848,1.399,1,4.4563
"174",41,1999,275578,NA,500,16,0,"1.Less than HS",TRUE,37,0.365384615,0.133505917,FALSE,0,0,"1. Less than 30",NA,1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4760,4.0115,3.585,1.2574,1.1962,4.292729273
"175",41,2000,275578,0,900,17,0,"1.Less than HS",FALSE,74,0.096153846,0.009245562,FALSE,NA,NA,NA,"No romantic union",1,1,"Retail Trade",4760,4.0115,3.585,1.2574,1.1962,4.292729273
"176",41,2001,275578,0,700,18,0,"2.High school",FALSE,98,1,1,TRUE,NA,NA,NA,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4760,4.0115,3.585,1.2574,1.1962,4.292729273
"177",41,2002,275578,0,600,19,0,"2.High school",TRUE,125,0.365384615,0.133505917,TRUE,0,0,"2. 30-299","No romantic union",1,1,"Wholesale Trade",4720,3.4102896,2.56035,1.097459746,1.2124,4.162158108
"178",41,2003,275578,0,700,20,0,"2.High school",TRUE,170,0.173076923,0.029955621,FALSE,NA,NA,NA,"No romantic union",1,1,"Retail Trade",4720,3.4102896,2.56035,1.097459746,1.2124,4.162158108
"179",41,2005,275578,0,2000,22,0,"2.High school",TRUE,194,0.461538462,0.213017751,FALSE,1,0,"2. 30-299","No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4110,3.61957127,2.606160616,1.2344,1.3274,4.477847785
"180",41,2006,275578,0,435,23,0,"4.College",TRUE,249,1.230769231,1.514792899,TRUE,1,0,"2. 30-299","No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4110,3.61957127,2.606160616,1.2344,1.3274,4.477847785
"181",41,2007,275578,0,660,24,0,"4.College",FALSE,298,2.173076923,4.722263314,TRUE,1,0,"2. 30-299","No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4110,3.61957127,2.606160616,1.2344,1.3274,4.477847785
"182",41,2008,275578,0,1200,25,0,"4.College",FALSE,347,0.192307692,0.036982249,TRUE,NA,NA,NA,"No romantic union",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",2140,4.172396328,2.8064,1.0805,1.1101,4.404
"183",41,2009,275578,0,470,26,0,"4.College",TRUE,393,0.038461538,0.00147929,FALSE,NA,NA,NA,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4110,3.61957127,2.606160616,1.2344,1.3274,4.477847785
"184",41,2010,275578,0,460,27,0,"4.College",FALSE,445,0.384615385,0.147928994,FALSE,0,0,"2. 30-299","No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4110,3.61957127,2.606160616,1.2344,1.3274,4.477847785
"185",41,2011,275578,0,500,28,0,"4.College",FALSE,494,1.326923077,1.760724852,TRUE,0,0,"2. 30-299","No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4110,3.61957127,2.606160616,1.2344,1.3274,4.477847785
"186",41,2013,275578,0,1538,30,0,"4.College",FALSE,604,0.307692308,0.094674556,TRUE,NA,NA,NA,"No romantic union",1,1,"Wholesale Trade",4850,4.405750834,4.026899103,1.638366667,1.3734,4.310577019
"187",43,1998,97296,NA,539,17,0,"1.Less than HS",TRUE,35,0.519230769,0.269600592,FALSE,1,0,"1. Less than 30","No romantic union",1,1,"Retail Trade",4760,4.0115,3.585,1.2574,1.1962,4.292729273
"188",43,1999,97296,NA,515,18,0,"1.Less than HS",TRUE,44,0.692307692,0.479289941,TRUE,1,0,"1. Less than 30","No romantic union",1,1,"Retail Trade",4760,4.0115,3.585,1.2574,1.1962,4.292729273
"189",43,2000,97296,0,600,19,0,"2.High school",FALSE,61,0.057692308,0.003328402,TRUE,NA,NA,NA,"No romantic union",1,1,"Retail Trade",4720,3.4102896,2.56035,1.097459746,1.2124,4.162158108
"190",43,2002,97296,0,313,21,0,"2.High school",FALSE,160,0.307692308,0.094674556,FALSE,0,0,NA,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4130,3.504788749,2.4353,1.2541,1.2763,4.5087
"191",43,2003,97296,0,700,22,0,"2.High school",FALSE,200,0.019230769,0.000369822,TRUE,NA,NA,NA,"No romantic union",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",7750,3.362618637,2.388607426,2.570980967,1.208733333,4.031333333
"192",43,2004,97296,0,750,23,0,"2.High school",FALSE,222,0.326923077,0.106878698,FALSE,NA,0,NA,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4760,4.0115,3.585,1.2574,1.1962,4.292729273
"193",43,2005,97296,0,550,24,0,"2.High school",FALSE,251,0.480769231,0.231139053,TRUE,NA,NA,NA,"No romantic union",1,1,"Retail Trade",4720,3.4102896,2.56035,1.097459746,1.2124,4.162158108
"194",43,2006,97296,0,700,24,0,"2.High school",FALSE,283,0.115384615,0.013313609,TRUE,NA,NA,NA,"No romantic union",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",6260,3.612766667,2.816863373,3.01489851,1.6648,3.7577
"195",43,2007,97296,0,860,26,0,"2.High school",FALSE,325,0.711538462,0.506286982,TRUE,1,0,"3. 300+","No romantic union",1,1,"Retail Trade",5620,3.607358199,2.529413235,1.788719718,1.225075,4.174620634
"196",43,2008,97296,0,975,27,0,"2.High school",FALSE,384,1.846153846,3.408284024,TRUE,1,0,"3. 300+","No romantic union",1,1,"Retail Trade",4720,3.4102896,2.56035,1.097459746,1.2124,4.162158108
"197",43,2009,97296,0,1125,27,0,"2.High school",FALSE,400,2.153846154,4.639053254,TRUE,1,1,NA,"No romantic union",1,1,"Retail Trade",4720,3.4102896,2.56035,1.097459746,1.2124,4.162158108
"198",43,2010,97296,0,725,29,0,"2.High school",FALSE,NA,NA,NA,FALSE,NA,NA,NA,"No romantic union",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",7750,3.362618637,2.388607426,2.570980967,1.208733333,4.031333333
"199",43,2011,97296,0,725,29,0,"2.High school",FALSE,NA,NA,NA,FALSE,NA,NA,NA,"No romantic union",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",7750,3.362618637,2.388607426,2.570980967,1.208733333,4.031333333
"211",47,1998,102097,NA,500,16,0,"1.Less than HS",TRUE,8,0.153846154,0.023668639,FALSE,NA,NA,NA,NA,1,1,"Educational and Social Services",8740,4.014601257,2.810781078,2.104310431,1.148,4.214821482
"212",47,2000,102097,0,502,18,0,"1.Less than HS",FALSE,NA,NA,NA,FALSE,NA,1,NA,"No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4720,3.4102896,2.56035,1.097459746,1.2124,4.162158108
"213",47,2003,102097,0,600,21,0,"2.High school",TRUE,NA,0.384615385,0.147928994,FALSE,1,0,"1. Less than 30","No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4720,3.4102896,2.56035,1.097459746,1.2124,4.162158108
"214",47,2004,102097,0,550,22,0,"2.High school",FALSE,NA,0.192307692,0.036982249,FALSE,NA,NA,NA,"No romantic union",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",4940,3.393666667,3.658034197,1.0978,1.0686,3.746674667
"215",47,2005,102097,0,650,23,0,"2.High school",FALSE,NA,1.307692308,1.710059172,FALSE,0,0,"2. 30-299","No romantic union",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",4940,3.393666667,3.658034197,1.0978,1.0686,3.746674667
"216",47,2006,102097,0,725,24,0,"2.High school",FALSE,NA,0.134615385,0.018121302,FALSE,NA,NA,NA,"No romantic union",1,1,"Retail Trade",4720,3.4102896,2.56035,1.097459746,1.2124,4.162158108
"217",47,2007,102097,0,900,25,0,"2.High school",FALSE,NA,0.096153846,0.009245562,TRUE,NA,NA,NA,"No romantic union",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",8960,3.425619073,2.7748,2.0129,1.204,3.667533247
"218",47,2008,102097,0,1350,26,0,"2.High school",FALSE,NA,0.807692308,0.652366864,TRUE,1,0,"3. 300+","No romantic union",1,1,"Public Administration and Armed Forces",5810,3.880415318,3.3824,1,1.0226,3.7606
"219",47,2009,102097,0,1125,27,0,"2.High school",FALSE,NA,1.769230769,3.130177515,TRUE,0,0,"2. 30-299","No romantic union",1,1,"Public Administration and Armed Forces",5810,3.880415318,3.3824,1,1.0226,3.7606
"220",47,2010,102097,0,1450,28,0,"2.High school",FALSE,NA,0.634615385,0.402736686,TRUE,0,0,"1. Less than 30","No romantic union",1,1,"Other Services",5810,3.880415318,3.3824,1,1.0226,3.7606
"221",47,2011,102097,0,1050,29,1,"2.High school",FALSE,NA,0.807692308,0.652366864,TRUE,0,0,"1. Less than 30","No romantic union",1,1,"Other Services",5810,3.880415318,3.3824,1,1.0226,3.7606
"222",47,2013,102097,0,1625,31,1,"2.High school",FALSE,NA,1.538461538,2.366863905,TRUE,1,0,"2. 30-299","No romantic union",1,1,"Health Care",3600,3.62101816,2.253883074,1.26575105,1.060135338,4.307689744
"223",48,1998,96295,NA,500,15,0,"1.Less than HS",TRUE,6,0.115384615,0.013313609,FALSE,NA,NA,NA,NA,1,1,"Educational and Social Services",4220,3.983,2.745174517,3.168816882,1.2546,3.927692769
"224",48,1999,96295,NA,550,16,0,"1.Less than HS",TRUE,13,0.134615385,0.018121302,FALSE,NA,NA,NA,NA,1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4720,3.4102896,2.56035,1.097459746,1.2124,4.162158108
"225",48,2000,96295,0,700,17,0,"1.Less than HS",TRUE,74,1.307692308,1.710059172,FALSE,1,0,"1. Less than 30","No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4720,3.4102896,2.56035,1.097459746,1.2124,4.162158108
"226",48,2001,96295,0,900,18,0,"2.High school",TRUE,107,0.134615385,0.018121302,TRUE,NA,NA,NA,"No romantic union",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",5240,3.998839963,2.86860657,1.1512,1.1628,4.3439
"227",48,2002,96295,0,900,19,0,"2.High school",TRUE,120,0.25,0.0625,TRUE,1,0,"1. Less than 30","No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4050,3.225815026,3.310931093,1.6601,1.443455654,4.01639836
"228",48,2003,96295,0,900,20,1,"2.High school",TRUE,155,0.923076923,0.852071006,TRUE,1,0,"1. Less than 30","Cohabiting",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4050,3.225815026,3.310931093,1.6601,1.443455654,4.01639836
"229",48,2004,96295,0,950,21,1,"2.High school",TRUE,218,2.134615385,4.55658284,TRUE,1,0,NA,"Cohabiting",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4050,3.225815026,3.310931093,1.6601,1.443455654,4.01639836
"230",48,2005,96295,0,1200,22,1,"2.High school",TRUE,257,0.384615385,0.147928994,TRUE,1,0,"2. 30-299","Cohabiting",1,1,"Public Administration and Armed Forces",3850,4.411009042,3.239611981,2.79035,1.2227,4.657582879
"231",48,2006,96295,0,1255,23,1,"2.High school",TRUE,306,1.326923077,1.760724852,FALSE,1,0,"1. Less than 30","Cohabiting",1,1,"Public Administration and Armed Forces",3850,4.411009042,3.239611981,2.79035,1.2227,4.657582879
"232",48,2007,96295,0,1207,24,1,"4.College",FALSE,361,2.384615385,5.686390533,TRUE,1,1,"3. 300+","Cohabiting",1,1,"Public Administration and Armed Forces",3850,4.411009042,3.239611981,2.79035,1.2227,4.657582879
"233",48,2008,96295,0,2067,25,1,"4.College",FALSE,424,1.115384615,1.24408284,TRUE,1,0,"1. Less than 30","Cohabiting",1,1,"Transportation and Warehousing",5400,4.013030244,3.231223122,1.0179982,1.1739,4.4473
"234",48,2009,96295,0,2308,26,1,"4.College",FALSE,470,0.730769231,0.534023669,TRUE,1,1,NA,"Cohabiting",1,1,"Educational and Social Services",2010,4.263977941,2.723933333,1.119433333,1.053766667,4.583686123
"235",48,2010,96295,0,2308,27,1,"4.College",FALSE,518,1.653846154,2.735207101,TRUE,1,1,"3. 300+","No romantic union",1,1,"Educational and Social Services",2010,4.263977941,2.723933333,1.119433333,1.053766667,4.583686123
"236",48,2011,96295,0,2356,28,1,"4.College",FALSE,566,2.576923077,6.640532544,TRUE,1,1,"3. 300+","No romantic union",1,1,"Educational and Social Services",2010,4.263977941,2.723933333,1.119433333,1.053766667,4.583686123
"237",48,2013,96295,0,2452,30,1,"4.College",FALSE,677,4.711538462,22.19859467,TRUE,1,1,"3. 300+","No romantic union",1,1,"Educational and Social Services",2010,4.263977941,2.723933333,1.119433333,1.053766667,4.583686123
"251",50,1999,96295,NA,525,16,0,"1.Less than HS",TRUE,8,0.153846154,0.023668639,TRUE,NA,NA,NA,NA,1,1,"Educational and Social Services",4600,4.078890236,2.273736313,1.11105,1.2386,4.19740987
"252",50,2000,96295,0,515,17,0,"1.Less than HS",TRUE,22,0.423076923,0.178994083,TRUE,NA,NA,NA,"No romantic union",1,1,"Educational and Social Services",4600,4.078890236,2.273736313,1.11105,1.2386,4.19740987
"253",50,2002,96295,0,615,19,0,"1.Less than HS",FALSE,91,0.192307692,0.036982249,FALSE,NA,NA,NA,"No romantic union",1,0,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4720,3.4102896,2.56035,1.097459746,1.2124,4.162158108
"254",50,2003,96295,0,600,20,0,"1.Less than HS",FALSE,120,0.365384615,0.133505917,FALSE,1,0,"1. Less than 30","No romantic union",1,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4720,3.4102896,2.56035,1.097459746,1.2124,4.162158108
"255",50,2004,96295,NA,750,22,0,"2.High school",TRUE,178,0.25,0.0625,FALSE,NA,NA,NA,"No romantic union",1,1,"Retail Trade",4760,4.0115,3.585,1.2574,1.1962,4.292729273
"256",50,2005,96295,0,850,22,0,"2.High school",FALSE,202,0.711538462,0.506286982,FALSE,1,0,"1. Less than 30","No romantic union",1,1,"Retail Trade",4760,4.0115,3.585,1.2574,1.1962,4.292729273
"257",50,2006,96295,0,925,23,0,"2.High school",FALSE,220,0.346153846,0.119822485,TRUE,1,0,"3. 300+","No romantic union",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",5900,3.929527779,3.2589,1.5579,1.0088,4.3151
"258",50,2007,96295,0,875,24,1,"2.High school",FALSE,267,1.25,1.5625,TRUE,1,0,"3. 300+","No romantic union",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",5900,3.929527779,3.2589,1.5579,1.0088,4.3151
"259",50,2008,96295,0,900,25,1,"2.High school",FALSE,270,1.307692308,1.710059172,TRUE,1,0,"3. 300+","No romantic union",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",5900,3.929527779,3.2589,1.5579,1.0088,4.3151
"260",50,2009,96295,0,1115,26,1,"2.High school",FALSE,324,1.038461538,1.078402367,TRUE,NA,0,"3. 300+","No romantic union",1,1,"Educational and Social Services",5260,2.9368,2.7455,1.1644,1.0014,4.323932393
"261",50,2010,96295,0,1192,27,1,"2.High school",FALSE,365,1.826923077,3.337647929,TRUE,1,0,"2. 30-299","No romantic union",1,1,"Educational and Social Services",5260,2.9368,2.7455,1.1644,1.0014,4.323932393
"262",50,2011,96295,0,1315,28,1,"2.High school",FALSE,410,2.692307692,7.24852071,TRUE,1,1,"3. 300+","No romantic union",1,1,"Educational and Social Services",5260,2.9368,2.7455,1.1644,1.0014,4.323932393
"263",50,2013,96295,0,1400,30,1,"2.High school",FALSE,530,5,25,TRUE,1,1,"3. 300+","No romantic union",1,1,"Educational and Social Services",2000,4.208400482,2.5575,1.089038219,1.08908,4.24282
"264",53,1998,97883,NA,515,14,0,"1.Less than HS",FALSE,7,0.134615385,0.018121302,FALSE,NA,NA,NA,NA,1,1,"Educational and Social Services",4600,4.078890236,2.273736313,1.11105,1.2386,4.19740987
"265",53,1999,97883,NA,515,15,0,"1.Less than HS",TRUE,12,0.096153846,0.009245562,FALSE,NA,NA,NA,NA,1,1,"Other Services",5260,2.9368,2.7455,1.1644,1.0014,4.323932393
"266",53,2002,97883,0,617,18,0,"2.High school",FALSE,51,0.75,0.5625,FALSE,1,0,"2. 30-299","No romantic union",1,1,"Retail Trade",4720,3.4102896,2.56035,1.097459746,1.2124,4.162158108
"267",53,2003,97883,0,500,19,0,"2.High school",FALSE,87,0.692307692,0.479289941,TRUE,0,0,"1. Less than 30","No romantic union",1,1,"Educational and Social Services",2300,4.201316667,1.86895,1,1.0315,4.593220339
"268",53,2004,97883,0,1040,20,0,"2.High school",FALSE,144,1.096153846,1.201553254,TRUE,1,1,"1. Less than 30","No romantic union",1,1,"Information and Communications",3920,3.691008275,2.653988466,2.210933333,1.157366667,4.392666667
"269",53,2005,97883,0,1123,21,0,"2.High school",FALSE,199,2.153846154,4.639053254,TRUE,1,1,"1. Less than 30","No romantic union",1,1,"Information and Communications",3920,3.691008275,2.653988466,2.210933333,1.157366667,4.392666667
"270",53,2006,97883,0,1250,22,0,"2.High school",FALSE,246,3.057692308,9.349482249,TRUE,1,0,"1. Less than 30","No romantic union",1,1,"Information and Communications",3920,3.691008275,2.653988466,2.210933333,1.157366667,4.392666667
"271",53,2007,97883,0,1200,23,0,"2.High school",FALSE,295,0.769230769,0.591715976,TRUE,1,0,"3. 300+","No romantic union",1,1,"Information and Communications",3920,3.691008275,2.653988466,2.210933333,1.157366667,4.392666667
"272",53,2008,97883,0,1200,24,0,"2.High school",FALSE,353,1.884615385,3.551775148,TRUE,0,0,"3. 300+","No romantic union",1,1,"Information and Communications",3920,3.691008275,2.653988466,2.210933333,1.157366667,4.392666667
"273",53,2009,97883,0,1378,25,0,"2.High school",FALSE,396,2.711538462,7.352440828,TRUE,1,0,NA,"No romantic union",1,1,"Information and Communications",3920,3.691008275,2.653988466,2.210933333,1.157366667,4.392666667
"274",53,2010,97883,0,1400,26,0,"2.High school",FALSE,454,3.826923077,14.64534024,TRUE,1,0,"3. 300+","No romantic union",1,1,"Information and Communications",3920,3.691008275,2.653988466,2.210933333,1.157366667,4.392666667
"275",53,2011,97883,0,1300,27,0,"2.High school",FALSE,509,4.884615385,23.85946746,TRUE,1,0,"3. 300+","No romantic union",1,1,"Information and Communications",3920,3.691008275,2.653988466,2.210933333,1.157366667,4.392666667
"276",53,2013,97883,0,1450,29,0,"2.High school",FALSE,613,6.884615385,47.39792899,TRUE,1,0,"3. 300+","No romantic union",1,1,"Information and Communications",3920,3.691008275,2.653988466,2.210933333,1.157366667,4.392666667
"311",59,1997,97296,NA,62,15,0,NA,TRUE,5,0.096153846,0.009245562,FALSE,NA,NA,NA,NA,1,1,"Educational and Social Services",2540,3.992697498,2.606047879,1.28264,1.24412,4.469930601
"312",59,1998,97296,NA,125,17,0,"1.Less than HS",TRUE,88,0.173076923,0.029955621,FALSE,NA,NA,NA,"No romantic union",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",5860,3.9769,2.2848,1.399,1,4.4563
