republican.therm,democrat.therm,gender,race,partisanship,income,education,age,religion
0,0,Female,White/Caucasian,Other,"40,000 - 49,999",High School / GED,54,Jewish
16,94,Female,White/Caucasian,Democrat,"100,000 or more",4-year College Degree,30,Other
41,88,Male,White/Caucasian,Independent,"Less than 30,000",High School / GED,19,Christian
76,28,Male,White/Caucasian,Independent,"80,000 - 89,999",4-year College Degree,54,Christian
57,75,Female,Other,Independent,"40,000 - 49,999",2-year College Degree,35,Other
53,54,Female,White/Caucasian,Democrat,"80,000 - 89,999",2-year College Degree,54,Christian
74,8,Male,White/Caucasian,Republican,"70,000 - 79,999",High School / GED,89,Christian
97,95,Male,White/Caucasian,Republican,"100,000 or more",4-year College Degree,32,Christian
94,94,Male,White/Caucasian,Independent,"100,000 or more",Doctoral Degree,37,Athiest
77,83,Female,White/Caucasian,Republican,"100,000 or more",4-year College Degree,20,Christian
62,5,Male,White/Caucasian,Republican,"80,000 - 89,999",4-year College Degree,53,Christian
21,52,Male,White/Caucasian,Democrat,"50,000 - 59,999",Doctoral Degree,58,Christian
51,9,Female,White/Caucasian,Republican,"Less than 30,000",Some College,59,Other
83,0,Male,White/Caucasian,Republican,"Less than 30,000",High School / GED,49,Christian
65,95,Female,Hispanic,Democrat,"40,000 - 49,999",4-year College Degree,57,Christian
40,40,Male,White/Caucasian,Independent,"100,000 or more",Some College,46,Christian
75,52,Male,White/Caucasian,Republican,"50,000 - 59,999",High School / GED,22,Other
100,0,Female,White/Caucasian,Republican,"Less than 30,000",High School / GED,55,Christian
72,78,Male,African American,Democrat,"Less than 30,000",High School / GED,19,Christian
100,61,Female,White/Caucasian,Republican,"30,000 - 39,999",Some College,60,Christian
8,92,Male,White/Caucasian,Democrat,"50,000 - 59,999",Some College,33,Christian
42,50,Female,African American,Democrat,"Less than 30,000",Some College,23,Other
100,100,Male,White/Caucasian,Republican,"100,000 or more",4-year College Degree,34,Buddhist
100,38,Female,White/Caucasian,Republican,"30,000 - 39,999",2-year College Degree,73,Christian
89,0,Male,White/Caucasian,Republican,"50,000 - 59,999",Some College,35,Christian
100,15,Male,White/Caucasian,Independent,"100,000 or more",Doctoral Degree,27,Christian
79,26,Male,White/Caucasian,Republican,"100,000 or more",Some College,20,Christian
0,0,Female,Hispanic,Independent,"Less than 30,000",Some College,37,Other
80,33,Male,White/Caucasian,Democrat,"100,000 or more",4-year College Degree,35,Christian
68,72,Male,White/Caucasian,Democrat,"70,000 - 79,999","Professional Degree (JD, MD)",29,Christian
80,0,Male,White/Caucasian,Republican,"50,000 - 59,999",Some College,48,Christian
73,84,Male,White/Caucasian,Democrat,"100,000 or more",Masters Degree,37,Christian
79,18,Male,White/Caucasian,Republican,"90,000 - 99,999",Some College,68,Christian
65,0,Female,Other,Republican,"40,000 - 49,999",Some College,42,Other
51,51,Male,White/Caucasian,Independent,"40,000 - 49,999",4-year College Degree,54,Other
67,56,Male,White/Caucasian,Republican,"Less than 30,000",Less than High School,94,Christian
26,59,Male,White/Caucasian,Democrat,"Less than 30,000",Some College,34,Other
47,31,Female,White/Caucasian,Independent,"100,000 or more",4-year College Degree,39,Christian
76,0,Male,White/Caucasian,Republican,"90,000 - 99,999",4-year College Degree,35,Christian
100,0,Male,White/Caucasian,Republican,"100,000 or more",4-year College Degree,45,Christian
29,56,Female,White/Caucasian,Independent,"Less than 30,000",Masters Degree,85,Athiest
16,85,Female,Asian,Democrat,"90,000 - 99,999",High School / GED,21,Other
0,66,Male,White/Caucasian,Democrat,"100,000 or more",4-year College Degree,32,Athiest
34,98,Male,Other,Democrat,"50,000 - 59,999",Some College,53,Christian
76,55,Male,White/Caucasian,Independent,"70,000 - 79,999",4-year College Degree,49,Other
0,78,Male,White/Caucasian,Democrat,"Less than 30,000",Less than High School,47,Other
91,94,Male,White/Caucasian,Democrat,"Less than 30,000",2-year College Degree,36,Christian
0,96,Male,White/Caucasian,Democrat,"60,000 - 69,999",Some College,48,Christian
0,100,Female,White/Caucasian,Democrat,"80,000 - 89,999",2-year College Degree,32,Christian
41,40,Male,White/Caucasian,Independent,"40,000 - 49,999",4-year College Degree,61,Christian
100,67,Male,White/Caucasian,Republican,"100,000 or more",Masters Degree,38,Christian
87,40,Male,Asian,Republican,"Less than 30,000",High School / GED,19,Christian
68,42,Female,African American,Other,"Less than 30,000",High School / GED,19,Christian
19,29,Male,Other,Democrat,"80,000 - 89,999",Doctoral Degree,52,Other
82,76,Male,White/Caucasian,Independent,"30,000 - 39,999",4-year College Degree,59,Christian
0,100,Female,White/Caucasian,Democrat,"Less than 30,000",2-year College Degree,72,Christian
19,94,Female,African American,Democrat,"100,000 or more",4-year College Degree,23,Christian
69,100,Male,White/Caucasian,Independent,"30,000 - 39,999",4-year College Degree,45,Christian
36,81,Male,Asian,Democrat,"50,000 - 59,999",High School / GED,21,Christian
87,84,Male,White/Caucasian,Republican,"70,000 - 79,999",Masters Degree,31,Christian
64,81,Female,Native American,Independent,"40,000 - 49,999",4-year College Degree,36,Other
41,60,Female,White/Caucasian,Independent,"Less than 30,000",High School / GED,81,Christian
70,28,Female,White/Caucasian,Republican,"100,000 or more",4-year College Degree,56,Christian
81,33,Female,White/Caucasian,Republican,"90,000 - 99,999",4-year College Degree,85,Christian
25,57,Female,White/Caucasian,Independent,"50,000 - 59,999",4-year College Degree,46,Athiest
100,21,Male,White/Caucasian,Republican,"50,000 - 59,999",4-year College Degree,56,Christian
75,41,Male,White/Caucasian,Republican,"100,000 or more",Some College,19,Christian
2,84,Female,African American,Democrat,"Less than 30,000",Some College,39,Christian
99,45,Male,White/Caucasian,Republican,"40,000 - 49,999",High School / GED,59,Christian
68,71,Male,White/Caucasian,Independent,"100,000 or more",4-year College Degree,34,Christian
59,54,Female,White/Caucasian,Republican,"100,000 or more",Masters Degree,83,Christian
80,43,Male,White/Caucasian,Republican,"50,000 - 59,999",4-year College Degree,53,Christian
29,64,Male,Hispanic,Other,"Less than 30,000",4-year College Degree,23,Other
61,0,Male,White/Caucasian,Republican,"30,000 - 39,999",4-year College Degree,22,Christian
100,31,Female,White/Caucasian,Independent,"70,000 - 79,999",4-year College Degree,20,Christian
72,56,Male,White/Caucasian,Republican,"40,000 - 49,999",4-year College Degree,64,Christian
63,82,Female,Hispanic,Democrat,"Less than 30,000",High School / GED,29,Christian
98,90,Male,White/Caucasian,Republican,"70,000 - 79,999",Some College,53,Christian
51,98,Female,Native American,Democrat,"Less than 30,000",Less than High School,42,Other
4,98,Male,African American,Independent,"50,000 - 59,999",2-year College Degree,34,Buddhist
63,25,Male,White/Caucasian,Republican,"Less than 30,000",High School / GED,18,Christian
17,100,Male,White/Caucasian,Democrat,"90,000 - 99,999",4-year College Degree,62,Christian
100,38,Male,White/Caucasian,Republican,"40,000 - 49,999",Some College,41,Christian
80,60,Male,Hispanic,Democrat,"40,000 - 49,999",High School / GED,52,Christian
61,47,Female,White/Caucasian,Republican,"70,000 - 79,999",Masters Degree,63,Christian
26,29,Male,White/Caucasian,Republican,"80,000 - 89,999",High School / GED,20,Christian
100,100,Male,White/Caucasian,Republican,"100,000 or more",4-year College Degree,34,Buddhist
52,53,Female,Hispanic,Independent,"40,000 - 49,999",Masters Degree,24,Christian
86,92,Male,Hispanic,Democrat,"60,000 - 69,999",4-year College Degree,27,Christian
68,69,Male,African American,Republican,"Less than 30,000",High School / GED,33,Christian
41,55,Female,African American,Democrat,"70,000 - 79,999",2-year College Degree,41,Christian
8,64,Male,White/Caucasian,Independent,"Less than 30,000",High School / GED,53,Christian
0,100,Male,White/Caucasian,Democrat,"Less than 30,000",2-year College Degree,51,Other
25,95,Male,White/Caucasian,Democrat,"30,000 - 39,999",Some College,44,Other
25,73,Female,White/Caucasian,Democrat,"50,000 - 59,999",Some College,77,Other
0,89,Male,White/Caucasian,Democrat,"80,000 - 89,999",4-year College Degree,39,Athiest
41,80,Male,White/Caucasian,Democrat,"Less than 30,000",4-year College Degree,77,Other
40,0,Male,Asian,Independent,"80,000 - 89,999",High School / GED,20,Christian
95,66,Male,Hispanic,Republican,"50,000 - 59,999",4-year College Degree,27,Christian
51,51,Male,White/Caucasian,Independent,"Less than 30,000",Some College,53,Christian
95,16,Male,White/Caucasian,Republican,"Less than 30,000",High School / GED,76,Christian
25,68,Female,Native American,Democrat,"30,000 - 39,999",2-year College Degree,19,Christian
90,89,Male,White/Caucasian,Independent,"100,000 or more",4-year College Degree,54,Christian
82,37,Male,White/Caucasian,Republican,"50,000 - 59,999",High School / GED,38,Christian
81,75,Female,White/Caucasian,Democrat,"100,000 or more",4-year College Degree,38,Christian
40,94,Male,Hispanic,Democrat,"100,000 or more",4-year College Degree,69,Christian
67,62,Female,African American,Other,"Less than 30,000",2-year College Degree,56,Christian
10,90,Female,White/Caucasian,Democrat,"70,000 - 79,999",4-year College Degree,62,Jewish
32,89,Male,White/Caucasian,Democrat,"70,000 - 79,999",4-year College Degree,37,Christian
21,84,Male,White/Caucasian,Democrat,"30,000 - 39,999",4-year College Degree,25,Jewish
87,88,Male,White/Caucasian,Independent,"100,000 or more",4-year College Degree,34,Christian
81,35,Female,White/Caucasian,Republican,"40,000 - 49,999",Some College,30,Christian
71,41,Female,Hispanic,Republican,"Less than 30,000",Some College,43,Christian
100,83,Male,White/Caucasian,Other,"100,000 or more",High School / GED,19,Christian
100,67,Female,White/Caucasian,Democrat,"50,000 - 59,999",High School / GED,45,Christian
0,100,Male,Hispanic,Independent,"70,000 - 79,999",Less than High School,36,Athiest
59,61,Male,White/Caucasian,Other,"30,000 - 39,999",2-year College Degree,23,Christian
52,100,Male,White/Caucasian,Democrat,"30,000 - 39,999",High School / GED,24,Christian
26,100,Female,African American,Democrat,"Less than 30,000",2-year College Degree,46,Other
76,78,Male,White/Caucasian,Republican,"100,000 or more",4-year College Degree,63,Christian
93,37,Male,White/Caucasian,Republican,"Less than 30,000",Some College,82,Christian
22,80,Female,African American,Independent,"30,000 - 39,999",Some College,21,Christian
42,17,Male,White/Caucasian,Independent,"60,000 - 69,999",High School / GED,68,Christian
69,0,Male,White/Caucasian,Independent,"70,000 - 79,999",4-year College Degree,39,Christian
66,44,Female,White/Caucasian,Republican,"Less than 30,000",High School / GED,62,Christian
68,44,Female,African American,Republican,"70,000 - 79,999",High School / GED,31,Christian
75,33,Male,White/Caucasian,Democrat,"Less than 30,000",4-year College Degree,35,Other
71,0,Male,White/Caucasian,Republican,"Less than 30,000",Some College,36,Christian
77,80,Male,White/Caucasian,Republican,"30,000 - 39,999",High School / GED,18,Christian
100,85,Female,Asian,Other,"90,000 - 99,999",Masters Degree,28,Other
72,42,Male,White/Caucasian,Independent,"100,000 or more",High School / GED,21,Other
91,89,Female,White/Caucasian,Republican,"90,000 - 99,999",Some College,65,Christian
62,61,Female,Hispanic,Other,"Less than 30,000",High School / GED,20,Other
71,7,Male,Asian,Other,"40,000 - 49,999",4-year College Degree,35,Other
52,52,Female,White/Caucasian,Other,"40,000 - 49,999",Some College,26,Christian
9,65,Female,Hispanic,Democrat,"90,000 - 99,999","Professional Degree (JD, MD)",19,Athiest
100,100,Male,White/Caucasian,Independent,"70,000 - 79,999",2-year College Degree,28,Christian
100,0,Male,White/Caucasian,Republican,"Less than 30,000",Some College,52,Christian
24,80,Male,White/Caucasian,Democrat,"70,000 - 79,999",4-year College Degree,43,Christian
76,35,Male,White/Caucasian,Republican,"100,000 or more",High School / GED,19,Christian
37,74,Female,White/Caucasian,Democrat,"50,000 - 59,999",4-year College Degree,30,Christian
51,51,Female,White/Caucasian,Independent,"30,000 - 39,999",2-year College Degree,46,Christian
100,100,Female,African American,Democrat,"100,000 or more",4-year College Degree,40,Other
2,67,Male,African American,Independent,"Less than 30,000",Some College,25,Christian
84,62,Female,White/Caucasian,Republican,"80,000 - 89,999",2-year College Degree,64,Christian
100,0,Male,White/Caucasian,Republican,"60,000 - 69,999",Masters Degree,31,Christian
61,82,Female,White/Caucasian,Independent,"Less than 30,000",4-year College Degree,27,Christian
82,86,Female,White/Caucasian,Republican,"50,000 - 59,999",Some College,74,Christian
71,82,Male,White/Caucasian,Independent,"100,000 or more",4-year College Degree,39,Christian
0,100,Male,White/Caucasian,Democrat,"50,000 - 59,999",Masters Degree,40,Athiest
51,41,Female,White/Caucasian,Democrat,"Less than 30,000",Some College,28,Christian
0,100,Male,White/Caucasian,Democrat,"30,000 - 39,999",4-year College Degree,39,Christian
57,0,Male,Other,Other,"40,000 - 49,999",Doctoral Degree,48,Other
60,61,Female,Hispanic,Democrat,"80,000 - 89,999",4-year College Degree,32,Christian
59,0,Male,Asian,Republican,"30,000 - 39,999",4-year College Degree,31,Christian
0,100,Male,White/Caucasian,Democrat,"60,000 - 69,999",4-year College Degree,60,Athiest
0,100,Female,African American,Independent,"Less than 30,000",High School / GED,51,Christian
6,100,Female,White/Caucasian,Democrat,"Less than 30,000",4-year College Degree,36,Other
28,76,Male,White/Caucasian,Democrat,"50,000 - 59,999",4-year College Degree,27,Christian
93,54,Female,African American,Republican,"100,000 or more",Masters Degree,47,Christian
87,88,Male,Hispanic,Other,"Less than 30,000",Some College,54,Other
35,85,Female,White/Caucasian,Democrat,"30,000 - 39,999",High School / GED,30,Christian
0,0,Female,African American,Democrat,"Less than 30,000",Less than High School,47,Christian
0,24,Male,White/Caucasian,Independent,"40,000 - 49,999",4-year College Degree,52,Other
51,38,Female,Native American,Independent,"Less than 30,000",Some College,50,Christian
81,32,Male,White/Caucasian,Republican,"Less than 30,000",High School / GED,52,Other
100,100,Female,White/Caucasian,Independent,"40,000 - 49,999",4-year College Degree,26,Christian
41,32,Male,White/Caucasian,Independent,"100,000 or more",4-year College Degree,50,Athiest
100,1,Male,White/Caucasian,Republican,"40,000 - 49,999",High School / GED,50,Christian
61,33,Female,Asian,Republican,"90,000 - 99,999",High School / GED,38,Other
70,96,Male,African American,Democrat,"Less than 30,000",2-year College Degree,50,Christian
100,43,Female,White/Caucasian,Republican,"Less than 30,000",Some College,86,Christian
33,36,Female,White/Caucasian,Democrat,"40,000 - 49,999",Masters Degree,72,Christian
87,22,Female,White/Caucasian,Republican,"30,000 - 39,999",4-year College Degree,61,Christian
79,93,Female,Hispanic,Democrat,"90,000 - 99,999",4-year College Degree,41,Other
67,91,Female,Hispanic,Democrat,"Less than 30,000",4-year College Degree,40,Christian
87,97,Male,White/Caucasian,Democrat,"90,000 - 99,999",Masters Degree,63,Christian
79,31,Male,White/Caucasian,Republican,"50,000 - 59,999",4-year College Degree,54,Christian
53,73,Female,African American,Democrat,"Less than 30,000",Some College,54,Other
64,81,Male,White/Caucasian,Independent,"50,000 - 59,999",Doctoral Degree,33,Other
91,39,Female,White/Caucasian,Republican,"Less than 30,000",Some College,78,Christian
71,15,Male,White/Caucasian,Republican,"60,000 - 69,999",High School / GED,47,Christian
36,76,Male,White/Caucasian,Democrat,"Less than 30,000",High School / GED,62,Christian
0,0,Female,White/Caucasian,Independent,"30,000 - 39,999",Some College,66,Other
74,68,Male,Asian,Republican,"70,000 - 79,999",4-year College Degree,30,Christian
0,100,Male,White/Caucasian,Independent,"100,000 or more",4-year College Degree,55,Christian
63,85,Female,White/Caucasian,Democrat,"40,000 - 49,999",2-year College Degree,68,Christian
8,77,Female,White/Caucasian,Democrat,"50,000 - 59,999",Some College,34,Christian
8,24,Male,Hispanic,Democrat,"30,000 - 39,999",High School / GED,18,Christian
36,41,Female,White/Caucasian,Democrat,"100,000 or more",Some College,66,Christian
17,90,Male,White/Caucasian,Democrat,"50,000 - 59,999",4-year College Degree,31,Christian
38,75,Male,White/Caucasian,Democrat,"100,000 or more",Masters Degree,37,Christian
63,0,Male,White/Caucasian,Independent,"70,000 - 79,999",4-year College Degree,60,Christian
13,89,Male,African American,Democrat,"30,000 - 39,999",High School / GED,37,Christian
44,82,Female,African American,Independent,"70,000 - 79,999",4-year College Degree,32,Christian
58,41,Male,White/Caucasian,Independent,"100,000 or more",Masters Degree,38,Christian
35,28,Female,White/Caucasian,Independent,"50,000 - 59,999",Some College,22,Other
19,52,Female,African American,Democrat,"40,000 - 49,999",Some College,23,Christian
69,61,Male,White/Caucasian,Independent,"100,000 or more",Masters Degree,42,Muslim
53,53,Female,White/Caucasian,Independent,"50,000 - 59,999",High School / GED,63,Other
20,72,Female,White/Caucasian,Democrat,"50,000 - 59,999",2-year College Degree,76,Other
60,100,Female,White/Caucasian,Democrat,"50,000 - 59,999","Professional Degree (JD, MD)",26,Christian
0,100,Female,African American,Democrat,"Less than 30,000",Some College,58,Christian
47,61,Female,White/Caucasian,Democrat,"60,000 - 69,999",High School / GED,40,Christian
25,94,Female,African American,Democrat,"Less than 30,000",Some College,25,Other
0,0,Male,White/Caucasian,Independent,"50,000 - 59,999",4-year College Degree,35,Other
95,21,Female,White/Caucasian,Republican,"90,000 - 99,999",4-year College Degree,65,Christian
76,100,Male,White/Caucasian,Democrat,"100,000 or more",Masters Degree,43,Christian
82,32,Male,Hispanic,Republican,"80,000 - 89,999",4-year College Degree,30,Christian
46,47,Female,African American,Independent,"Less than 30,000",High School / GED,22,Christian
19,82,Male,White/Caucasian,Republican,"90,000 - 99,999",Masters Degree,64,Christian
100,79,Male,White/Caucasian,Republican,"50,000 - 59,999",4-year College Degree,25,Christian
52,54,Male,White/Caucasian,Democrat,"Less than 30,000",High School / GED,54,Athiest
38,68,Male,White/Caucasian,Independent,"60,000 - 69,999",4-year College Degree,38,Christian
30,41,Female,African American,Other,"Less than 30,000",2-year College Degree,41,Other
91,6,Female,White/Caucasian,Republican,"100,000 or more",Some College,58,Other
96,0,Female,White/Caucasian,Republican,"30,000 - 39,999",Some College,85,Christian
98,94,Female,Hispanic,Democrat,"100,000 or more",4-year College Degree,40,Other
17,52,Female,White/Caucasian,Independent,"80,000 - 89,999",High School / GED,70,Christian
82,54,Male,White/Caucasian,Republican,"70,000 - 79,999",High School / GED,21,Christian
70,21,Male,White/Caucasian,Independent,"Less than 30,000",2-year College Degree,54,Christian
14,69,Female,Asian,Democrat,"100,000 or more",Masters Degree,25,Athiest
96,98,Female,White/Caucasian,Republican,"60,000 - 69,999",4-year College Degree,67,Christian
72,100,Female,White/Caucasian,Democrat,"70,000 - 79,999",4-year College Degree,63,Christian
71,51,Male,White/Caucasian,Democrat,"100,000 or more",Masters Degree,36,Christian
100,76,Male,White/Caucasian,Republican,"100,000 or more",Doctoral Degree,41,Christian
56,41,Male,White/Caucasian,Independent,"60,000 - 69,999",4-year College Degree,53,Christian
37,72,Female,African American,Independent,"40,000 - 49,999",High School / GED,18,Christian
100,100,Male,Hispanic,Republican,"100,000 or more",Some College,46,Christian
88,88,Female,Hispanic,Democrat,"50,000 - 59,999",High School / GED,30,Christian
72,74,Male,White/Caucasian,Independent,"40,000 - 49,999",Masters Degree,29,Athiest
0,44,Female,African American,Independent,"30,000 - 39,999",High School / GED,50,Other
50,52,Female,Other,Independent,"40,000 - 49,999",4-year College Degree,30,Other
13,12,Female,Other,Other,"70,000 - 79,999",Masters Degree,45,Christian
22,33,Male,White/Caucasian,Republican,"30,000 - 39,999",High School / GED,21,Athiest
51,51,Female,White/Caucasian,Democrat,"90,000 - 99,999",4-year College Degree,59,Other
52,52,Female,White/Caucasian,Independent,"Less than 30,000",High School / GED,57,Christian
0,100,Male,White/Caucasian,Democrat,"30,000 - 39,999",Some College,32,Athiest
38,1,Male,White/Caucasian,Other,"90,000 - 99,999",Some College,76,Christian
71,0,Male,White/Caucasian,Republican,"Less than 30,000",High School / GED,56,Christian
24,97,Male,White/Caucasian,Democrat,"60,000 - 69,999",Some College,75,Christian
47,68,Female,Hispanic,Democrat,"50,000 - 59,999",High School / GED,51,Other
44,79,Male,White/Caucasian,Democrat,"90,000 - 99,999",2-year College Degree,35,Christian
4,62,Male,White/Caucasian,Independent,"40,000 - 49,999",High School / GED,79,Christian
82,81,Male,Asian,Independent,"Less than 30,000",4-year College Degree,25,Christian
42,76,Female,Other,Democrat,"90,000 - 99,999",Masters Degree,33,Christian
